timestamp,nfc_latency_ms,api_latency_ms,retry_count,payment_status,label,scenario
2025-01-01 09:00:00,145.35788555700535,223.1167032251937,0.0,1,0,apple_pay_failure
2025-01-01 09:01:30,113.0109394418875,138.0918350992377,0.0,1,0,apple_pay_failure
2025-01-01 09:03:00,120.49230245517876,196.94814239148016,0.0,1,0,apple_pay_failure
2025-01-01 09:04:30,126.11274424494762,177.15913653413637,0.0,1,0,apple_pay_failure
2025-01-01 09:06:00,108.16615457061393,163.60815539046163,0.0,1,0,apple_pay_failure
2025-01-01 09:07:30,120.03098359358923,197.4549886085511,0.0,1,0,apple_pay_failure
2025-01-01 09:09:00,119.98664421213103,152.52925290104014,0.0,1,0,apple_pay_failure
2025-01-01 09:10:30,93.67913540481868,192.42361773433808,0.0,1,0,apple_pay_failure
2025-01-01 09:12:00,135.2648700849524,217.8314737252333,0.0,1,0,apple_pay_failure
2025-01-01 09:13:30,129.00747773879323,189.41723371341155,0.0,1,0,apple_pay_failure
2025-01-01 09:15:00,110.6185653904986,163.09193928717997,0.0,1,0,apple_pay_failure
2025-01-01 09:16:30,117.42677608206418,140.5172821452711,0.0,1,0,apple_pay_failure
2025-01-01 09:18:00,127.57949061295128,152.9510454423286,0.0,1,0,apple_pay_failure
2025-01-01 09:19:30,116.0796537721253,138.96944675262498,0.0,1,0,apple_pay_failure
2025-01-01 09:21:00,116.3587638199118,224.99081074825804,1.0,1,0,apple_pay_failure
2025-01-01 09:22:30,98.20137881263814,178.76288747672274,0.0,1,0,apple_pay_failure
2025-01-01 09:24:00,128.3187046783783,158.87089926511837,0.0,1,0,apple_pay_failure
2025-01-01 09:25:30,121.85821357930557,152.544782233039,0.0,1,0,apple_pay_failure
2025-01-01 09:27:00,124.11689885639946,158.3188671359402,1.0,1,0,apple_pay_failure
2025-01-01 09:28:30,97.1021320219524,176.603928204924,0.0,1,0,apple_pay_failure
2025-01-01 09:30:00,144.76049536779715,152.93473464020963,0.0,1,0,apple_pay_failure
2025-01-01 09:31:30,122.31503303184537,226.9076898572602,0.0,1,0,apple_pay_failure
2025-01-01 09:33:00,114.19290085070418,166.31526522522353,0.0,1,0,apple_pay_failure
